Name, Name 2nd, JaccardVertex, JaccardEdge, GED, KLD
SchemEx-2013-0,SchemEx-2013-1,0.9444354,0.81971186,398731.0,1.0856286
SchemEx-2013-1,SchemEx-2013-2,0.9481414,0.8398671,359338.0,1.6247575
SchemEx-2013-2,SchemEx-2013-3,0.95273185,0.8286491,357332.0,1.3563108
SchemEx-2013-3,0,1.0,0,193890.0,7.9338317
0,0,0,0,0.0,0.0
0,SchemEx-2013-6,1.0,0,167513.0,7.8390036
SchemEx-2013-6,SchemEx-2013-7,0.94754803,0.8081354,356883.0,0.68559235
SchemEx-2013-7,SchemEx-2013-8,0.9500944,0.80556023,444575.0,0.608032
SchemEx-2013-8,SchemEx-2013-9,0.9384757,0.80952245,450237.0,0.56664467
SchemEx-2013-9,SchemEx-2013-10,0.94641244,0.81341976,398133.0,0.70783496
SchemEx-2013-10,SchemEx-2013-11,0.9459042,0.8277931,354017.0,1.1972109
SchemEx-2013-11,SchemEx-2013-12,0.95786244,0.8316786,360746.0,1.6913028
SchemEx-2013-12,SchemEx-2013-13,0.9451046,0.81524754,409602.0,0.9703817
SchemEx-2013-13,SchemEx-2013-14,0.94583243,0.82511806,387420.0,1.0330186
SchemEx-2013-14,SchemEx-2013-15,0.9514947,0.83906627,380640.0,1.3169545
SchemEx-2013-15,SchemEx-2013-16,0.946092,0.81687015,382627.0,0.739916
SchemEx-2013-16,SchemEx-2013-17,0.9447346,0.81138164,382165.0,0.5209221
SchemEx-2013-17,SchemEx-2013-18,0.94261444,0.8208666,362616.0,0.76903903
SchemEx-2013-18,SchemEx-2013-19,0.9460974,0.82534623,342853.0,1.4282737
SchemEx-2013-19,SchemEx-2013-20,0.94641286,0.83269715,318785.0,2.5484128
SchemEx-2013-20,SchemEx-2013-21,0.9528365,0.83138543,311694.0,4.1144185
SchemEx-2013-21,SchemEx-2013-22,0.9546596,0.8789438,265413.0,5.4232845
SchemEx-2013-22,SchemEx-2013-23,0.9650566,0.8846866,201939.0,4.400813
SchemEx-2013-23,SchemEx-2013-24,0.96355873,0.877656,238456.0,5.0492516
SchemEx-2013-24,SchemEx-2013-25,0.95390725,0.8818926,237956.0,4.189325
SchemEx-2013-25,SchemEx-2013-26,0.97620046,0.9076332,338435.0,1.5315897
SchemEx-2013-26,SchemEx-2013-27,0.9447448,0.8995977,319454.0,2.6761577
SchemEx-2013-27,SchemEx-2013-28,0.9700023,0.85174096,292106.0,2.053562
SchemEx-2013-28,SchemEx-2013-29,0.95678705,0.8195911,409366.0,1.3399932
SchemEx-2013-29,SchemEx-2013-30,0.94161844,0.79222155,324733.0,0.59865624
SchemEx-2013-30,SchemEx-2013-31,0.9642536,0.8201481,336469.0,1.0577779
SchemEx-2013-31,SchemEx-2013-32,0.9553853,0.80933785,393985.0,1.012191
SchemEx-2013-32,SchemEx-2013-33,0.9593824,0.8056663,359737.0,0.82795846
SchemEx-2013-33,SchemEx-2013-34,0.9596522,0.799913,372409.0,0.4779258
SchemEx-2013-34,SchemEx-2013-35,0.9582521,0.8082727,393612.0,0.7701798
SchemEx-2013-35,SchemEx-2013-36,0.9561663,0.800303,415084.0,0.5394105
SchemEx-2013-36,SchemEx-2013-37,0.9595782,0.8151048,425461.0,0.9341556
SchemEx-2013-37,SchemEx-2013-38,0.95222276,0.79660165,410166.0,0.8323565
SchemEx-2013-38,SchemEx-2013-39,0.9531592,0.80002356,394210.0,0.8859793
SchemEx-2013-39,0,1.0,0,193042.0,7.4866266
0,SchemEx-2013-41,1.0,0,169887.0,7.209467
SchemEx-2013-41,0,1.0,0,169887.0,7.209467
0,SchemEx-2013-43,1.0,0,193364.0,7.3418093
SchemEx-2013-43,SchemEx-2013-44,0.95389384,0.79994047,382219.0,0.81994754
SchemEx-2013-44,SchemEx-2013-45,0.95801467,0.8076414,343405.0,1.0108068
SchemEx-2013-45,SchemEx-2013-46,0.96770805,0.8144953,381123.0,0.8150394
SchemEx-2013-46,SchemEx-2013-47,0.9504403,0.79403234,423868.0,0.27332112
SchemEx-2013-47,SchemEx-2013-48,0.93956137,0.8087806,305005.0,0.513232
SchemEx-2013-48,SchemEx-2013-49,0.96717596,0.8363542,341370.0,0.57872707
SchemEx-2013-49,SchemEx-2013-50,0.9564571,0.79995245,486962.0,0.6080627
SchemEx-2013-50,0,1.0,0,253278.0,7.3490314
0,0,0,0,0.0,0.0
